"data","acompanhamento","prato_principal","guarnicao","sobremesa","sem_atendimento","quantidade_almoco","quantidade_jantar"
"2025-07-22","156,46","75,76","","67,51",0,1668,604
"2025-07-23","156,46","100,101","165","79,56",0,1480,415
"2025-07-24","156,46","47,73","82","59,56",0,1863,550
"2025-07-25","156,46","133,87","85","64",0,1076,255
"2025-07-31","156,46","90,91","","92,56",0,945,10
"2025-08-11","45,46","142,107","88","79,51",0,1951,582
"2025-08-12","45,46","94,95","","59,56",0,2027,687
"2025-08-13","45,46","90,91","","92,51",0,2690,1283
"2025-08-14","45,46","137,48","74","59,56",0,2039,642
"2025-08-15","45,46","133,96","85","79,60",0,1496,372
"2025-08-18","45,46","132,53","54","64,51",0,2442,1029
"2025-08-19","45,46","133,96","85","71,56",0,1925,672
"2025-08-20","45,46","142,48","88","59,51",0,2270,788
"2025-08-21","45,46","134,107","","92,56",0,2814,1018
"2025-08-22","45,46","133,96","85","71,60",0,1599,407
"2025-08-25","45,46","131,66","","64,51",0,2243,807
"2025-08-26","45,46","142,119","83","79,56",0,2326,825
"2025-08-27","45,46","94,95","","67,51",0,2331,773
"2025-08-28","45,46","90,91","","92,56",0,3033,1438
"2025-08-29","45,46","133,96","85","59,60",0,1622,387
"2025-09-01","45,46","132,53","54","67,51",0,2437,1013
"2025-09-02","45,46","142,48","83","71,56",0,2284,825
"2025-09-03","45,46","129,62","63","64,51",0,3109,83
